"","O.NET.SOC.Code","Title","Administration.and.Management","Biology","Building.and.Construction","Chemistry","Clerical","Communications.and.Media","Computers.and.Electronics","Customer.and.Personal.Service","Design","Economics.and.Accounting","Education.and.Training","Engineering.and.Technology","English.Language","Fine.Arts","Food.Production","Foreign.Language","Geography","History.and.Archeology","Law.and.Government","Mathematics","Mechanical","Medicine.and.Dentistry","Personnel.and.Human.Resources","Philosophy.and.Theology","Physics","Production.and.Processing","Psychology","Public.Safety.and.Security","Sales.and.Marketing","Sociology.and.Anthropology","Telecommunications","Therapy.and.Counseling","Transportation"
"477","31-2022.00","Physical Therapist Aides",1.99,1.9,0.28,1.37,3.24,1.88,3.15,4.62,0.93,0.95,3.75,0.9,3.31,0.72,0.2,1.25,0.74,0.65,1.93,2.19,1.21,3.15,1.45,1.84,1.29,1.12,3.95,2.34,1.68,2.08,1.56,3.87,1.12
"478","31-9011.00","Massage Therapists",2.21,3.17,0.07,1.07,3.14,1.83,1.6,4.7,0.47,2.17,2.87,0.62,3.1,0.31,0.2,0.31,0.33,0.57,2.07,1.73,0.57,2.28,1.47,1.57,0.7,0.47,3.43,1.4,3.47,1.73,0.48,2.39,0.6
"479","31-9091.00","Dental Assistants",2.28,1.64,0.34,2.62,2.51,2.02,2.74,4.63,1.04,1.14,3.37,1.1,4.11,0.11,0.04,1.1,0.42,0.13,2.15,2.11,2.24,4.29,1.65,0.89,1.07,2.54,3.32,2.26,2.62,1.54,1.15,2.13,0.12
"480","31-9092.00","Medical Assistants",3.21,1.76,0.29,2.54,3.86,1.71,3.98,4.86,0.48,1.58,2.96,0.75,3.48,0.29,0.36,1.37,0.73,0.39,1.72,2.75,0.32,3.45,2.25,1.43,1.39,2.09,3.92,2.95,1.14,1.97,1.22,2.8,1.13
"481","31-9093.00","Medical Equipment Preparers",2.02,3.68,1.08,2.7,3,1.86,2.85,5.52,1.06,1.32,2.47,1.77,3.99,0.65,0.31,0.87,0.36,0.35,1.71,2.55,2.71,2.55,1.45,0.85,1.16,3.32,1.64,2.94,1.07,0.91,1.91,0.92,1.17
"482","31-9094.00","Medical Transcriptionists",1.55,0.95,0,0.66,5.73,0.94,4.27,2.51,0.18,0.08,1.84,0.27,4.58,0,0,0.43,0.52,0.31,1.31,1.24,0.43,2.73,0.71,0.63,0.3,0.65,1.05,1.84,0.02,0.79,0.78,1.69,0.53
"483","31-9095.00","Pharmacy Aides",2.09,0.65,0.52,1.39,2.81,1.98,2.51,4.51,0.61,1.22,2.05,0.16,2.5,0,0,0.7,1.02,0,3.06,2.24,1.35,2.46,0.76,0.93,0.44,1.58,1.7,2.37,2.02,0.64,1.03,1.64,0.6
"484","31-9096.00","Veterinary Assistants and Laboratory Animal Caretakers",1.37,3.25,0.11,2.7,2.86,1.52,2.85,4.16,0.66,1.02,2.74,0.84,3.13,0.33,0.68,0.22,0.84,0.04,1.2,3.02,1.74,2.25,0.75,0.49,1.08,1.7,1.5,1.51,2.99,0.68,0.83,1.3,1.09
"485","31-9097.00","Phlebotomists",2.15,1.86,0.62,2.62,4.05,2.14,2.81,5.05,0.81,1.14,4.3,1.52,3.75,0.24,0.67,1.57,0.81,0.48,2.24,2.43,1.57,3.1,1.86,2.48,1.19,2.29,3.62,2.9,1.48,2.33,1.38,2.35,1.19
"486","31-9099.01","Speech-Language Pathology Assistants",2.72,0.6,0,0.1,4.24,2.09,3.99,4.5,0.64,0.94,3.66,0.52,4.54,0.49,0,1.47,1.41,0.64,1.4,3.26,0.62,1.17,2.06,2.25,0.19,0.82,5.06,2.17,0.9,1.94,0.7,3.64,0.37
"487","31-9099.02","Endoscopy Technicians",2.25,2.04,0.58,2.17,2.92,1.5,3.42,5,1.04,0.88,3.79,1.75,3.42,0.38,0.42,1,0.5,0.42,1.79,1.88,3.08,3.5,2.12,1.58,1,2.57,3.12,2.92,0.75,1.46,1.5,1.67,0.67
"488","33-1011.00","First-Line Supervisors of Correctional Officers",3.9,0.12,0.7,1.55,3.89,1.93,3.49,2.54,0.75,1.05,3.44,1.5,4.05,0.04,0.91,1.91,0.13,0.63,3.9,2.52,1.42,0.95,3.17,2.93,0.47,1.6,4.39,4.95,0.05,2.91,1.29,2.64,2.66
"489","33-1012.00","First-Line Supervisors of Police and Detectives",3.95,0.9,0.85,1.5,3.4,2.89,3.99,5.21,1.37,1.31,4.39,1.96,4.06,0.26,0,1.73,2.08,1.47,5.14,2.91,1.69,1.71,4,2.97,0.93,1.23,4.94,5.46,0.6,3.66,2.99,3.34,2.69
"490","33-1021.01","Municipal Fire Fighting and Prevention Supervisors",4.04,2.02,4.62,3.79,3.7,2.72,3.7,5.61,3.49,2.33,5.18,3.52,4.21,0.26,1.04,0.93,2.76,0.77,3.5,3.65,4.34,3.18,4.11,1.93,3.46,2.35,4.01,5.25,1.95,2.04,3.09,3,2.96
"491","33-1021.02","Forest Fire Fighting and Prevention Supervisors",4.03,2.84,2.98,2.97,4.35,3.06,4.29,5.72,2.81,2.9,5.38,3.31,4.26,0.25,0.5,0.88,4.37,2.19,4.19,3.68,4.4,1.94,4.34,2.36,3.31,2.11,3.86,4.88,1.19,2.81,2.85,2.62,3.31
"492","33-2011.01","Municipal Firefighters",3.22,1.72,3.66,3.19,2.67,2.26,2.56,5.5,2.16,0.76,4.14,2.57,3.32,0.42,0.48,0.91,3.09,0.72,3.32,2.73,4.46,2.68,2.24,1.2,3.18,1.85,3.12,4.71,1.23,1.04,2.6,2.77,3.05
"493","33-2011.02","Forest Firefighters",3.55,2.5,3.92,2.7,2.91,2.76,2.77,5.66,2.35,1.81,4.98,2.98,3.32,0.26,1.33,1.24,4.85,2.02,3.16,3.12,4.59,2.3,3.65,1.54,3.02,2.25,3.59,4.65,1.05,1.47,3.82,2.54,3.59
"494","33-2021.01","Fire Inspectors",3.47,1.59,4.52,3.9,4.28,2.89,3.54,5.54,3.39,0.81,4.82,2.71,4.03,0.36,0.31,1.55,2.29,1.65,4.18,3.71,3.72,2.1,2.28,2.08,3.5,1.1,2.99,4.91,1.08,1.65,2.45,1.97,2.53
"495","33-2021.02","Fire Investigators",3.34,2.23,3.74,4.38,4.29,3.41,3.74,5.87,3.09,1.73,5.16,2.72,4.4,0.11,0.48,1.95,2.84,1.52,5.09,3.18,3.9,2.09,2.99,2.52,3.68,0.93,4.91,5.45,0.88,3.48,2.4,3.21,2.72
"496","33-2022.00","Forest Fire Inspectors and Prevention Specialists",4.88,3.91,2.91,3.87,3.01,2.97,3.95,5.96,2.03,0.18,5.87,2.92,4.85,0.03,0.04,0.11,4.95,1.93,4.86,3.95,3.11,2.91,3.89,2.81,3.81,0.15,2.12,4.99,2.9,0.18,3.93,1.99,2.05
"497","33-3011.00","Bailiffs",2.32,0.19,0.29,0.39,2.33,1.73,2.8,3.93,0.51,0.7,2.58,0.55,2.81,0.05,0,0.97,1.05,0.31,3.62,1.09,0.68,0.9,1.7,1.37,0.2,0.61,3.39,4.08,0.23,1.66,2.04,1.51,1.52
"498","33-3012.00","Correctional Officers and Jailers",2.85,1.26,1.43,1.53,2.87,2.29,3.36,4.09,0.85,0.93,3.23,1.24,3.67,0.29,1.1,1.5,0.86,0.88,4,2.25,1.64,2.7,2.28,2.85,1.03,1.26,4.63,5.16,0.85,2.9,2.5,3.48,2.69
"499","33-3021.01","Police Detectives",3.5,1.5,0.97,1.69,4.16,3.18,4.53,5.68,1.85,1.92,4.7,1.88,4.52,0.4,0.22,2.08,3.02,1.68,5.16,3.26,1.5,1.71,3.41,3.09,1.31,1.92,4.73,5.46,0.6,3.31,2.93,3.58,3.07
"500","33-3021.02","Police Identification and Records Officers",2.79,1.86,0.78,3.27,4.08,2.2,3.5,5.04,1.57,0.55,3.91,1.58,4.12,0.42,0.15,0.84,1.49,0.79,4,2.12,2.13,1.46,2.35,0.79,1.24,1.71,3.16,4.27,0.16,1.8,2.5,1.39,1.65
"501","33-3021.03","Criminal Investigators and Special Agents",3.61,1.77,0.63,2.49,4.05,2.63,4.34,5.91,1.36,1.39,4.56,1.36,4.16,0.36,0.27,2.15,2.56,1.74,4.65,3.1,1.99,1.74,3.1,2.24,2.08,1.01,4.86,5.12,1.08,3.17,2.58,2.72,2.64
"502","33-3021.05","Immigration and Customs Inspectors",2.79,1.94,0.79,2.25,3.49,2.19,3.49,4.82,0.92,1.56,3.74,1,4.16,0.41,0.5,3.02,4.09,2.42,4.45,2.27,1.32,1.44,2.1,2.88,1.2,1.68,4.15,4.53,0.59,3.23,1.89,1.89,2.87
"503","33-3021.06","Intelligence Analysts",3.91,1.34,0.78,1.56,4.77,3.69,4.56,3.91,1.88,3.16,4.41,1.48,5,0.59,0.34,2.91,4.88,3.12,4.81,4.03,0.69,0.94,2.84,4.44,1.19,1.69,3.66,4.31,1.78,4.22,2.56,1.19,2.72
"504","33-3031.00","Fish and Game Wardens",3.23,4.68,2,2.69,3.82,3.23,3.62,5.48,2.17,1.56,3.91,2,4.37,0.39,2.17,1.69,4.32,2.45,4.92,3.48,2.8,2.64,3.53,2.44,2.38,1.4,4.16,5.42,2.13,3.52,2.33,2.67,3.38
"505","33-3041.00","Parking Enforcement Workers",1.87,0.2,0.79,0.82,2.81,1.88,2.65,4.39,1.18,1.25,2.5,0.95,3.14,0.31,0.05,1.55,2.41,1,3.59,1.75,1.63,1.23,1.58,1.92,0.84,1.32,2.76,3.51,0.74,1.75,1.55,1.48,2.49
"506","33-3051.01","Police Patrol Officers",2.44,1.2,0.57,1.79,3.18,2.44,3.28,5.85,0.84,0.96,3.66,0.96,4.21,0.21,0.15,2.23,2.02,1.03,4.47,2.61,1.31,1.79,2.4,2.58,1.23,0.61,5.24,4.95,0.4,3.07,2.72,3.39,2.65
"507","33-3051.03","Sheriffs and Deputy Sheriffs",3.16,0.96,0.25,1.57,3.33,2.5,3.42,5.22,0.87,1.27,4.15,1.17,4.04,0.06,0,1.95,2.07,0.72,4.93,2.63,1.52,1.65,3.14,2.7,1.54,1.28,4.71,5.2,0.28,2.17,2.87,3.15,2.34
"508","33-3052.00","Transit and Railroad Police",3.03,0.17,0.18,0.37,2.13,2.08,2.74,3.14,0.35,0.54,2.69,0.37,4.57,0.02,0.07,1.08,2.3,0.22,3.27,1.89,1.06,0.5,1.64,0.83,0.29,0.51,2.39,5.35,0.37,1.48,3,1.54,3.78
"509","33-9011.00","Animal Control Workers",2.64,2.77,1.18,2.31,3.22,2.94,3.29,4.87,1.31,1.13,4.18,1.16,3.71,0,0.73,1.05,2.12,1.21,3.88,2.67,2.19,2.21,2.29,1.36,1.31,1.41,2.42,4.13,0.87,1.48,2.45,2.56,2.69
"510","33-9021.00","Private Detectives and Investigators",3.56,0.78,0.67,0.64,4.46,2.8,4.09,4.77,0.9,2.2,3.3,0.83,4.53,0.65,0.14,1.61,1.93,1.02,4.22,2.26,0.78,1.25,2.7,2.13,0.51,0.99,3.7,3.48,2.79,2.29,1.62,1.12,2.09
"511","33-9031.00","Gaming Surveillance Officers and Gaming Investigators",3.5,0.39,1.02,1.1,3.84,2.28,4.08,3.44,2.03,2.37,3.95,2.06,3.59,0.39,1.32,1.43,0.7,1.25,4.06,3.87,2.59,0.87,2.77,2.39,1.02,2.01,3.32,4.38,1.34,2.55,2.64,1.11,0.91
"512","33-9032.00","Security Guards",2.23,0.2,0.15,0.34,0.6,1.2,0.64,1.75,0.13,0.18,1.3,0.19,1.5,0.12,0.09,0.6,0.34,0.23,1.35,0.62,0.2,0.34,0.41,0.48,0.29,0.34,0.57,2.76,0.16,0.4,0.65,0.36,1.43
"513","33-9091.00","Crossing Guards",0.58,0.12,0,0,0.31,0.36,0.07,2.94,0.11,0.06,1.64,0.13,1.44,0,0,0.16,0.15,0,1.84,0.21,0.41,0.53,0.32,0.48,0,0.12,0.96,2.71,0,0.6,0.14,0.13,1.27
"514","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.2,1.58,0.97,2.2,2.07,1.26,1.18,5.92,0.76,0.69,3.86,1.31,2.35,0.03,0.28,0.85,1.58,0.53,2.23,1.49,1.71,2.8,2.2,0.94,1.78,0.74,2.61,3.08,1.01,1.32,1.22,1.43,1.04
"515","33-9093.00","Transportation Security Screeners",2.58,0.19,0.11,0.85,1.85,1.41,2,3.93,0.22,1.07,2.93,0.7,3.26,0,0,1.74,0.56,0.37,2.59,1.07,1.3,0.19,1.67,1.7,0.26,0.67,2.22,4.07,0.67,1.41,1.26,0.67,2.07
"516","33-9099.02","Retail Loss Prevention Specialists",3.61,0.45,1.12,1.5,4.11,1.93,3.91,4.37,1.21,2.14,4.19,1.64,4.02,0.15,0.72,1.85,1.45,0.68,3.82,3.7,1.56,1.66,3.29,1.78,0.91,2.25,2.99,4.45,1.9,1.79,1.57,2.51,1.83
"517","35-1011.00","Chefs and Head Cooks",4.19,1.33,1.41,3.15,2.96,2.22,2.96,4.04,2.65,2.3,4.37,1.63,3.33,1.31,4.65,2.15,2.11,1.16,1.96,3.85,2.07,0.78,3.81,1.52,1.44,4.42,2.85,3.3,3.3,1.44,1.3,1.78,1.85
"518","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers",4.06,0.87,0.5,2.01,2.97,1.45,2.45,3.94,1.11,2.76,3.51,1.28,3.15,0.27,3.99,0.72,0.66,0.14,1.35,3.29,1.19,0.55,2.91,0.45,0.53,3.04,2.11,2.31,2.57,0.65,1.35,1.49,1.43
"519","35-2011.00","Cooks, Fast Food",1.87,0.52,0.57,1.2,1.1,1.03,1.85,3.08,0.76,1.6,2.16,1.26,2.16,0.38,2.25,1.02,0.77,0.59,1.18,2.15,1.03,0.76,2.07,0.5,0.81,2.18,1.22,1.95,2.11,0.66,0.91,0.42,1.07
"520","35-2012.00","Cooks, Institution and Cafeteria",1.59,0.3,0.39,1.32,1.86,1.07,1.64,4.16,0.5,0.59,1.25,0.73,2.06,0.16,1.82,0.72,0.21,0.2,0.71,2.7,0.92,0.68,1.39,0.99,0.45,1.67,1.29,1.51,0.6,0.33,0.57,0.31,0.51
"521","35-2013.00","Cooks, Private Household",3.71,1.78,0.15,2.5,4.64,2.61,3.07,5.46,0.74,3.11,2.38,0.63,3.54,0.58,3.39,0.31,0.96,0.5,2.3,3.22,1.78,0.96,0.89,1.58,0.74,4.18,1.77,1.44,4.68,1.46,0.78,0.65,1.48
"522","35-2014.00","Cooks, Restaurant",2.22,0.73,0.8,2.07,0.86,1.42,1.16,2.28,1.18,1.35,2.48,0.75,2.12,0.39,3.14,0.72,0.99,0.57,1.18,2.3,1.52,0.7,1.47,1.16,0.9,2.69,1.28,2.57,1.79,1.04,0.79,0.92,1.39
"523","35-2015.00","Cooks, Short Order",1.92,1.62,0.41,1.99,1.14,1.17,1.61,3.87,0.68,0.48,3.37,1.22,3.25,0.78,3.82,0.72,0.73,0.58,2.28,3.74,1.96,0.57,0.89,0.6,0.74,3.55,1.61,2.9,2.98,0.91,1.77,0.89,0.3
"524","35-2021.00","Food Preparation Workers",2,1,0.99,2.28,1.4,1.48,1.67,2.4,1.13,1.2,1.86,1.34,2.29,0.71,2.86,0.72,0.97,0.4,1.58,2.72,1.09,1.21,1.26,0.93,1.15,1.81,1.73,2.04,1.66,0.79,0.87,1.05,1.51
"525","35-3011.00","Bartenders",2.44,0.36,0.44,0.67,1.48,1.06,1.49,5.15,0.48,1.19,2.64,0.59,2.7,0.39,2.17,0.91,0.62,0.86,2.15,2.39,1.4,0.62,1.73,1.22,0.69,2.43,3.58,2.41,3.08,2.42,0.23,1.02,0.22
"526","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food",2,0.45,0.12,1.29,1.48,1.65,1.02,3.75,1.35,1.39,2.74,1.64,2.86,0.17,2.29,0.76,0.47,0.33,1.03,2.8,1.31,1.06,1.14,0.49,0.8,2.09,1.52,1.94,2.29,0.49,1.91,0.58,1.61
"527","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2.43,0.05,0.05,1.85,1.82,0.65,1.29,3.56,0.33,1.03,2.1,0.43,2.24,0.04,2.01,0.41,0.42,0.04,0.38,1.92,0.72,0.97,2.03,0.04,0.43,1.62,0.72,1.29,1.98,0.32,0.74,0.53,1.35
"528","35-3022.01","Baristas",2.3,0.32,0.52,1.63,1.21,1.73,2.15,3.5,0.99,1.26,1.77,0.73,2.3,0.91,2.58,0.94,0.53,0.43,0.72,1.91,1.14,0.68,1.77,0.63,0.75,1.25,1.1,1.29,2.79,0.8,0.9,0.64,1.04
"529","35-3031.00","Waiters and Waitresses",1.66,0.23,0.24,0.68,0.98,1.52,1.96,4.1,0.4,1.4,2.3,0.42,2.87,0.22,3.06,0.76,0.52,0.24,1.22,2.21,0.72,0.59,1.77,0.33,0.32,1.86,2.18,2.2,2.75,1,0.96,0.38,1.47
"530","35-3041.00","Food Servers, Nonrestaurant",2.01,0.27,0.2,1.19,1.06,1.13,0.96,2.98,0.34,0.41,1.92,0.94,2.88,0.14,2.23,1.1,0.99,0.17,0.37,1.8,0.83,0.55,0.75,0.47,0.28,1.18,1.65,2.28,0.84,0.56,0.41,0.21,1.08
"531","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers",1.61,0.17,0.55,1.23,0.94,1.43,1.55,3.15,0.26,1.16,2.01,0.55,2.96,0.39,2.48,0.95,0.48,0.24,0.99,2.2,0.62,0.49,1.64,0.11,0.59,1.64,1.49,1.95,1.7,0.6,0.49,0.61,0.91
"532","35-9021.00","Dishwashers",2.04,0.69,0.31,2.55,0.78,0.8,0.78,2.13,0.9,0.89,2.47,0.88,1.41,0.76,1.54,0.19,0.69,0.8,1.21,0.74,1.46,0.66,1.05,0.45,0.57,1.4,1.3,1.55,1,0.51,0.84,0.48,0.93
"533","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.94,0.44,0.12,0.83,1.04,1.52,1.15,3.96,0.72,1.34,2.35,0.73,2.83,0.11,1.78,0.73,0.38,0.13,0.64,1.9,0.73,0.22,0.97,0.26,0.09,1.88,2.39,1.99,2.34,1.25,1.03,0.45,0.71
"534","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers",4.05,1.01,2.07,3.01,2.69,1.68,2.68,4.86,1.94,1.67,4.06,2.28,3.12,0.36,0.62,1.44,0.85,0.71,1.56,2.67,2.9,1.15,3.43,1.4,1.19,2.24,2.22,2.87,1.77,1.14,1.42,1.59,1.88
"535","37-1012.00","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",4.37,2.76,2.09,2.28,3.65,2.5,3.05,4.46,2.77,3.25,3.74,2.24,4.11,0.34,0.22,1.57,1.36,0.31,2.29,3.95,2.88,0.7,3.58,0.24,1.47,2.46,2.85,2.54,3.55,0.93,2.19,0.68,2.08
"536","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.39,0.55,1.44,2.2,0.73,1.29,1.09,2.68,0.74,0.55,1.79,0.95,2.62,0.33,0.67,1.02,0.48,0.56,1.12,1.25,1.74,0.5,0.96,0.93,1.19,1.07,0.91,2.76,0.49,0.65,0.98,0.86,1.19
"537","37-2012.00","Maids and Housekeeping Cleaners",2.35,0.07,0.14,0.97,1.15,1.08,0.49,3.72,0.08,1.25,2.81,0.44,2.49,0.01,0.39,1.5,0.56,0.11,0.83,0.76,0.86,0.64,0.91,0.41,0.12,1.12,1.26,2.16,0.66,0.65,0.37,0.22,2.18
"538","37-2021.00","Pest Control Workers",2.36,3.02,1.96,3.08,2.22,1.06,1.69,4.3,1.29,1.54,2.18,1.27,2.29,0.13,1.3,0.83,1.82,0.56,2.25,2.39,2.39,0.4,1.39,1.02,1.43,1.99,1.77,2.89,2.78,0.56,0.55,0.27,1.68
"539","37-3011.00","Landscaping and Groundskeeping Workers",2.29,2.68,1.56,2.97,2.07,1.65,1.96,2.88,2.16,1.78,2.15,2.28,2.57,0.5,0.51,0.58,1.19,0.24,0.74,2.76,2.76,0.27,1.55,0.22,0.7,2.02,0.53,1.77,1.89,0.31,0.66,0.39,1.84
"540","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation",3.39,3.91,0.45,3.39,2.19,1.74,2.05,3.73,1.27,1.65,3.55,1.99,2.89,0.13,0.46,0.53,1.94,0.43,2.51,3.06,2.9,0.82,2.24,0.31,2.59,3.68,1.02,2.74,2.88,0.64,1.4,0.51,3.56
"541","37-3013.00","Tree Trimmers and Pruners",2.71,3.37,1.34,2.16,1.54,0.85,0.89,3.61,1.28,0.97,3.1,2.08,2.64,0.11,0.4,0.89,1.8,0.52,2.02,1.97,4.03,1.09,1.69,0.45,2.84,2.03,1.43,2.9,2.38,0.44,0.99,0.61,3.19
"542","39-1011.00","Gaming Supervisors",3.6,0,0.3,0.21,3.16,2.17,2.82,4.97,0.64,2.14,3.16,0.82,3.57,0.11,0.26,1.05,0.66,0.35,1.97,4.02,1.22,0.71,3,1.39,0.16,1.57,3.44,2.79,3.28,1.48,1.19,1.52,0.84
"543","39-1012.00","Slot Supervisors",3.25,0,0.8,0.1,1.84,0.78,2.53,4.97,1.27,1.94,3.1,1.18,2.47,0.22,0.5,1.1,0.2,0.36,0.96,2.98,2.12,0.15,2.21,0.55,0.57,1.6,1.43,2.78,2.35,0.86,0.47,0.72,0.34
"544","39-1021.00","First-Line Supervisors of Personal Service Workers",4.08,0.99,0.38,1.97,3.49,2.6,2.93,4.68,0.91,2.4,3.72,0.65,3.45,0.97,0.64,0.41,1.24,0.28,2.02,3.21,1.35,1.28,3.55,2.06,0.69,0.94,3.34,2.35,3.06,2.5,0.79,2.25,1.81
"545","39-1021.01","Spa Managers",4.18,1.01,0.01,1.43,4.97,3.03,3.17,5.22,0.92,3.45,4.73,0.81,3.8,0,0.24,0.81,0.88,0.01,1.19,4.08,1.39,1.35,4.37,0.59,0.04,1.38,2.91,1.23,3.9,1.17,1.61,2.61,0.95
"546","39-2011.00","Animal Trainers",2.91,2.08,1.33,0.91,3.42,2.05,2.52,4.23,1.51,2.18,4.31,1.57,3.04,0.34,0.24,0.88,1.46,0.64,2.2,1.99,1.69,1.92,2.18,0.91,0.39,1.57,3.67,2.39,2.77,2.07,0.88,2.12,1.46
"547","39-2021.00","Nonfarm Animal Caretakers",1.47,2.31,1.01,1.81,1.75,1.16,1.23,3.62,1.13,0.49,2.39,0.99,2.67,0.24,0.75,0.13,0.93,0.35,0.49,1.93,2.42,1.4,1.66,0.34,0.94,0.84,1.19,1.43,1.39,0.48,0.49,0.8,0.92
"548","39-3011.00","Gaming Dealers",1.49,0.05,0.15,0.15,1.01,1.13,1,4.52,0.18,1.08,1.38,0.26,2.17,0.06,0.2,0.65,0.25,0.2,1.19,2.96,0.46,0.15,1.29,0.66,0.14,0.35,2.03,1.49,1.59,1.08,0.28,0.13,0.33
"549","39-3012.00","Gaming and Sports Book Writers and Runners",2.41,0.7,0.18,0.07,1.85,1.65,2.32,3.57,0.58,2.53,2.18,0.81,2.81,0.36,0.41,0.77,0.67,0.31,1.32,3.5,0.69,0.14,1.74,0.57,0.28,1.94,2.19,1.8,2.71,1.34,0.85,0.51,0.68
"550","39-3021.00","Motion Picture Projectionists",2.53,0.1,0.86,1.09,1.68,1.9,2.88,2.94,0.98,0.64,2.65,1.81,2.1,0.58,0.48,0.29,0.26,0.09,0.72,1.88,3.53,0.23,1.63,0.23,1.16,1.61,1.3,2.01,1.15,0.59,1.35,0.47,0.48
"551","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers",1.81,0.48,0.2,0.53,2.11,2.52,2.21,4.35,0.56,1.81,2.1,1.1,2.85,1.12,1.42,0.33,1.45,1.67,1.09,2.08,0.94,0.38,1.66,1.02,0.66,1.14,1.94,2.88,2.8,1.27,0.98,0.38,1.11
"552","39-3091.00","Amusement and Recreation Attendants",3.41,0.73,0.55,0.76,3.94,1.69,2.71,4.58,0.69,2.18,1.8,0.81,2.69,0.74,0.84,1.18,1.04,0.66,1.06,2.37,0.78,1.1,2.1,0.78,0.73,1.43,1.23,2.02,3.15,1.08,0.81,1.02,1.03
"553","39-3092.00","Costume Attendants",1.71,0.2,0.24,1.64,0.82,1.89,2.6,5.41,2.28,0.42,2.58,1.48,2.56,3.02,0,0.74,0.84,0.45,0.64,2.76,2.11,0.34,1.26,0.99,0.06,1.26,2.39,1.66,1.37,2.32,1.18,1.82,1.14
"554","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants",1.68,0.45,0.13,1.26,1.78,1.77,1.49,3.87,0.41,0.99,1.85,0.62,2.62,0.28,0.88,0.57,1.01,0.55,0.62,1.71,0.75,0.93,0.98,0.63,0.53,0.73,1.66,1.82,1.53,0.8,0.86,0.9,0.87
"555","39-4011.00","Embalmers",3.76,3.67,1.83,4.45,4,2.45,3.41,6.1,1.18,3.29,3.94,1.48,3.51,1.37,0,1.41,1.15,1.93,3.34,3.19,2.76,2.04,3.38,3.38,2.72,3.16,4.32,3.52,3.06,3.17,1.56,3.35,3.36
"556","39-4021.00","Funeral Attendants",2.71,1.15,0.68,1.35,3.17,2.04,1.92,4.99,0.63,1.44,2.16,0.83,3.28,0.36,0.22,0.69,1.33,0.84,2.55,2.41,1.43,0.78,1.19,2.38,0.68,1.73,3.09,2.51,1.65,2.09,1.61,1.69,2.75
"557","39-4031.00","Morticians, Undertakers, and Funeral Directors",4.05,3.63,0.97,4.55,4.42,2.95,4.26,6.27,0.88,3.47,4.15,1.22,4.22,1.03,0.08,1.66,1.74,1.91,3.59,3.43,1.62,2.44,3.99,3.97,1.4,2.34,4.18,2.91,3.84,3.03,2.05,4.04,2.91
"558","39-5011.00","Barbers",1.59,0.53,0.25,1.58,1.4,1.16,0.22,4.45,1.58,1.31,2.04,0.36,2.17,0.52,0.06,0.94,0.36,0.36,1.35,1.28,1.4,0.52,1.39,0.84,0.24,0.87,1.88,1.5,2.38,0.89,0.38,0.84,0.78
"559","39-5012.00","Hairdressers, Hairstylists, and Cosmetologists",2.24,0.91,0,3.21,0.91,1.21,0.55,3.86,0.64,0.65,2.73,0.46,2.75,0.06,0,0.13,0,0.22,0.93,1.99,0.59,0.35,1.33,0.72,0.76,1.07,1.85,0.9,2.65,0.29,0.36,0.82,0.21
"560","39-5091.00","Makeup Artists, Theatrical and Performance",3.73,1.27,1.23,3.18,2.27,2.86,2.73,4.09,3.23,1.41,3.45,1.86,3.18,4.27,0.05,1.09,1.82,2.09,0.55,1.73,1.91,1.45,3.18,1.52,1.59,2.73,3.27,1.55,3,2.32,0.59,1.5,1.18
"561","39-5092.00","Manicurists and Pedicurists",2.31,1.81,0.55,2.15,1.79,0.98,1.95,3.51,1.44,1.24,2.11,0.91,3,1.34,0.83,1.54,1.39,1.25,1.19,2.45,1.45,1.37,2.47,1.16,1.3,2.26,2.36,2.02,2.49,2.26,0.64,1.23,1.15
"562","39-5093.00","Shampooers",1.15,0.98,0.07,2.93,0.76,1.68,0.67,4.27,0.45,0.35,2.38,0.23,3.36,0.61,0.15,0.51,0.07,0.2,0.82,1.57,0.24,0.66,0.6,0.57,0.79,1.71,1.62,2.9,3.43,1.38,0.36,1.18,0.32
"563","39-5094.00","Skincare Specialists",0.68,1.85,0,3.13,1.7,1.53,0.96,4.9,0.02,1.08,3.61,0.83,3.23,0.01,0,0.16,0,0,0.94,1.43,0.96,1.68,2.42,0.14,0.34,1.37,1.98,2.72,3.56,0.36,0.64,1.72,0.91
"564","39-6011.00","Baggage Porters and Bellhops",1.95,0.23,0.34,0.46,1.49,1.41,2.03,4.16,0.41,0.77,2.15,0.61,3,0.3,0.39,1.73,1.7,0.77,1.29,1.48,0.76,0.28,1.31,1.46,0.59,0.85,2.43,3,1.86,1.61,1.12,0.73,2.44
