"","O.NET.SOC.Code","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"471","31-1011.00","Home Health Aides",3,3.75,3,3,3.38,1,1,1,3.12,3,3,2,2,2.25,2.25,3.25,2.88,1.38,2.12,1.12,3.12,1,2,3.25,1,1.62,3.62,3.5,3.12,2,2,1.25,3.12,1.75,3.12,"Importance"
"472","31-1013.00","Psychiatric Aides",3.12,3.62,3,3.38,3.12,1,1,1,3.12,3,3,1.75,1.88,2.25,2,3.75,3.12,2,2.12,1.25,3.12,1,2,3,1,1.62,3.88,4,3.75,2,2.12,1.62,2.88,1.88,3,"Importance"
"473","31-1014.00","Nursing Assistants",2.5,3.62,2.75,3.25,3.12,1,1.38,1,2.62,2.88,2.5,1.38,1.75,2.12,2.12,3.25,2.38,1.38,2.25,1.12,2.38,1,2.12,3.12,1,1.62,4,3.62,3.25,1.88,2,1.5,2.88,1.88,2.88,"Importance"
"474","31-2011.00","Occupational Therapy Assistants",3.12,3.88,3.12,3.25,3.25,1.25,1.12,1.25,3.25,3.38,2.88,1.62,2,2.88,2.38,3.38,2.88,2.25,2.75,1.38,3,1.25,2,3.62,1.38,1.88,3.5,3.62,3.75,3,2.62,1.75,3.62,1.88,3.62,"Importance"
"475","31-2012.00","Occupational Therapy Aides",3,3.62,3,3.12,3.25,1.12,1,1,3,2.88,3,1.25,1.88,2.38,2,3.12,2.5,1.75,2.25,2,3,1.25,2,3,1.25,1.75,3.62,3.5,3.62,2.12,2.12,1.88,3,1.75,3.25,"Importance"
"476","31-2021.00","Physical Therapist Assistants",3.12,3.75,2.75,3.25,3.25,1,1.88,1,3.12,3.12,3,1.75,1.88,2.75,2,3.62,2.25,2.12,2.5,1.88,2.88,1.62,2.62,3.25,1,2.25,3.38,3.62,3.62,2.62,2.62,1.88,3,2,3,"Importance"
"477","31-2022.00","Physical Therapist Aides",2.88,3.62,2.88,3.12,3,1.88,1.25,1,3,2.62,2.38,1.25,1.38,2.12,2,3.12,2.25,2.12,2.5,1.88,3,1.25,2.12,3,1,2,3.12,3.38,3.12,2.12,2,1.88,2.88,2,2.88,"Importance"
"478","31-9011.00","Massage Therapists",2.88,3.75,3,2.62,3.12,1,1,1,2.38,3.12,2.75,1.38,1.38,1.75,1.75,2.88,1.88,1,1.38,2.12,2.12,1,1.75,3,1,1.88,3.25,3.38,3.62,2.25,2.38,1.62,2.88,1.38,3.12,"Importance"
"479","31-9091.00","Dental Assistants",3,3.5,2.88,2.88,3.12,1.88,1.88,1,2.88,2.75,2.38,1.5,2,2.25,2.12,3,2.75,2.12,2.62,1.75,2.88,1.25,2.62,3.38,1.75,2.25,3.12,3,3.38,2.25,2.12,1.88,2.75,2,2.88,"Importance"
"480","31-9092.00","Medical Assistants",3.25,3.88,2.75,3.5,3.62,1.12,1.25,1,3,3.12,3,1.75,2,2.62,2.62,3.75,2.75,1.88,2.75,1.62,2.88,1.5,2.38,3.88,1,2.75,3.38,3.88,4,2.62,2.5,1.38,3.25,1.75,3.5,"Importance"
"481","31-9093.00","Medical Equipment Preparers",3,3.25,2.75,3,3.5,2.75,2,2.12,2.12,3,2.75,1.75,2.62,2,2.25,3.38,1.75,2.88,3.25,1.38,2,1.62,3.38,3.12,2.38,1.88,2.75,2.75,3.12,2.5,2.12,1.5,3,3.12,2.88,"Importance"
"482","31-9094.00","Medical Transcriptionists",2.75,4,2.5,2.5,3,1,1,1,1.75,3,2,1,1,1.75,1.75,3,1.88,1.38,1.75,1.5,1.88,1.5,1.62,3.88,1,1.5,2.12,2.88,3,1.88,1.88,1,3.25,1,3.88,"Importance"
"483","31-9095.00","Pharmacy Aides",2.88,3.5,2.75,3,3,1.5,1.38,1,2,3,2.5,1.75,2,1.88,2.5,2.75,1.88,1.75,1.88,1.5,2.25,1.5,2,3.25,1.12,1.5,3.38,3.25,3.38,2.12,1.88,1.62,2.62,1.75,2.75,"Importance"
"484","31-9096.00","Veterinary Assistants and Laboratory Animal Caretakers",3,3.25,3,3,3,1.12,1.12,1,2.88,2.75,2.25,2,2,2.12,2.75,3.12,2.25,2,2.12,2.12,2.25,1.25,2,3,1,2.62,3.12,3,3,2,2,1.5,2.88,2,2.75,"Importance"
"485","31-9097.00","Phlebotomists",2.88,3.5,2.62,3,3.25,1.25,1.25,1,3,2.88,2.75,1.5,1.62,2.5,2.25,3,2.38,1.5,2.38,1.25,2.62,1.62,2.62,3.12,1.12,2.62,3.5,3.5,3.38,2.25,2.12,1.5,2.88,2,3.12,"Importance"
"486","31-9099.01","Speech-Language Pathology Assistants",3,4.25,3.25,3.38,3.38,1.38,1.25,1,3.38,2.88,3.12,1.75,2.12,2.5,2.25,3.38,2.62,1.12,2.12,1.25,2.75,1.38,1.12,3.62,1.12,1.75,3.5,3.5,3.5,2.62,2.75,1.88,3.12,1.12,3.12,"Importance"
"487","31-9099.02","Endoscopy Technicians",2.88,3.38,3,3,3.5,2.88,2.38,1,2.75,2.88,2.38,1.38,1.88,2.38,2.12,3.25,2.62,3,3.38,1.12,2.5,1.38,2.75,3.62,2.62,1.5,3,3.25,3.38,2.25,2.12,1.12,3,2.5,3.12,"Importance"
"488","33-1011.00","First-Line Supervisors of Correctional Officers",3.25,4,3.38,4,4,1,1.12,1,3.38,3.25,3.12,1.88,2,3.75,2.12,4,3.75,1.88,2,2.12,3.62,1.5,2.5,3.88,1,1.5,3,4,3.88,3,2.75,1.62,3.38,1.62,3.5,"Importance"
"489","33-1012.00","First-Line Supervisors of Police and Detectives",3.62,4.38,3.62,4,4,1.12,1,1,3.5,3.75,3.75,2.5,2.62,4,2.5,4,3.38,2.5,2.62,2.75,3.5,1.62,2.25,3.88,1,2.12,3.25,3.75,4.12,3.38,3.25,1.62,3.88,1.75,3.75,"Importance"
"490","33-1021.01","Municipal Fire Fighting and Prevention Supervisors",3.62,3.75,3.62,3.62,3.62,2.88,2.5,1,3.38,3.62,3.25,2.25,2.38,3.75,2.75,3.62,3.25,3,3.12,3,3.38,1.75,3,3.38,2.62,2.88,3.5,3.62,3.75,3.12,3.25,1.88,3.62,2.75,3.62,"Importance"
"491","33-1021.02","Forest Fire Fighting and Prevention Supervisors",3.75,3.88,3.75,3.75,4,2.88,2.25,1,3.38,4,3.25,1.75,2.25,3.62,2.62,4,2.75,3,3,2.75,3,1.38,3,3.5,2.12,2.38,2.88,3.38,4,3.25,3.12,1.88,3.62,2.38,3.12,"Importance"
"492","33-2011.01","Municipal Firefighters",3,3.62,3.12,3.62,3.62,3,2.5,1,3.38,3.38,3.25,1.62,1.88,2.62,2.38,3.5,2.88,3.5,3.62,2.5,2.75,1.38,2.75,3.25,2.62,2.62,3.5,3.25,3.38,2.88,2.75,1.62,3,3,3,"Importance"
"493","33-2011.02","Forest Firefighters",3,4,3.38,3.75,3.5,3,2.88,1.12,3.5,3.5,3,1.5,2,3,2.5,3.75,2.88,3.5,3.62,1.12,2.88,1.25,3,3.5,2.75,1.25,3.62,3.25,4,2.75,2.75,1.62,3.5,2.88,3.25,"Importance"
"494","33-2021.01","Fire Inspectors",3.38,3.62,3.12,3,3.62,1.12,1.12,1,2.88,3.62,2.88,1.75,1.75,2.62,2.75,3.12,2.62,2.5,3.38,2.62,2.88,1.62,3.88,3.38,1.25,2.88,3.12,2.88,3.5,3.12,3,1.5,3,2.75,3.38,"Importance"
"495","33-2021.02","Fire Investigators",3.12,4,3.62,3.5,4,1.12,1.25,1,3.25,3.5,3,1.62,1.75,2.25,2.5,3.38,2.62,2.25,2.38,1.25,3,1.38,2.12,3.38,1.12,3.25,2.75,3,4,2.5,2.5,1.25,3.25,2.38,3.5,"Importance"
"496","33-2022.00","Forest Fire Inspectors and Prevention Specialists",3,3.62,3.62,3.62,4.12,1.75,1.75,1,2.75,3.62,2.5,1.5,2,3.25,2.12,3.38,3,2.38,2.62,1.75,3.12,1.5,2.38,3.38,1.38,2.25,2.75,3.38,3.75,2.88,2.88,1.5,3.5,2.12,3.12,"Importance"
"497","33-3011.00","Bailiffs",2.62,3.25,2.62,2.62,3,1,1,1,2.12,3.12,2.12,1,1.12,2.12,1.38,3.25,2.75,1.12,1.62,1.12,2.75,1.12,1.75,2.62,1,1,2.5,3.62,3.25,1.62,1.38,1,2.88,1.25,2.38,"Importance"
"498","33-3012.00","Correctional Officers and Jailers",2.75,4,3.12,3.62,3.75,1,1.12,1,3.12,3.25,2.5,1.25,1.62,2.88,2.25,3.75,3.38,2.25,2.62,1.62,3.5,1.38,2.62,3.25,1.12,1.88,3.12,4,4,2.5,2.38,1.5,3.25,2,3,"Importance"
"499","33-3021.01","Police Detectives",3.12,4.12,3.62,3.12,4,1,1.12,1,3,3.62,2.5,1.5,1.5,2.88,2.12,3.38,3.38,2.5,2.75,2.12,3.12,1.62,1.88,3.88,1,2.75,3.38,4,4.25,3,2.88,1.62,3.38,1.88,3.5,"Importance"
"500","33-3021.02","Police Identification and Records Officers",3.25,3.88,3.12,3,3.75,1,1.25,1,2.75,3.25,2.5,1.62,2,2.5,2.38,3.12,2.62,2.5,2.88,1.12,2.75,1.38,2,3.62,1,1.12,2.88,3.25,3.62,2.62,2.38,1.62,3.12,1.88,3.25,"Importance"
"501","33-3021.03","Criminal Investigators and Special Agents",3.5,4,4,3.5,4.12,1,1.25,1,2.88,3.75,2.88,1.75,1.88,3,2.5,3.25,3.12,2.5,2.5,2.25,3.5,1.75,2.5,3.88,1,2.5,3,4,4,2.62,2.75,1.75,3.38,1.75,3.88,"Importance"
"502","33-3021.05","Immigration and Customs Inspectors",3.38,4,3.12,3.38,4,1,1,1,2.75,3.62,2.62,1.75,1.75,2.75,2.25,3.62,3,2.25,2.38,1.5,3.12,1.5,2.12,3.88,1,1.88,3,3.88,4,2.62,2.38,1.5,3,1.75,3.62,"Importance"
"503","33-3021.06","Intelligence Analysts",3.25,4.12,3.25,3.25,4,1,1.25,1.12,2.75,3.38,2.62,1.62,1.88,2.25,2.62,3,2.5,1.25,2,1.75,2.75,2.38,1.38,4.25,1,2.12,2.62,3,3.75,2.62,2.62,1.88,2.88,1,3.62,"Importance"
"504","33-3031.00","Fish and Game Wardens",3,3.88,3.38,3.25,3.88,2,1.88,1,3,3.5,2.88,1.62,1.62,2.5,2.62,3.38,2.88,2.88,3,2.38,3.38,1.5,2.5,3.62,2,2.75,3.12,3.38,3.75,3.12,3,1.75,3,2.25,3.12,"Importance"
"505","33-3041.00","Parking Enforcement Workers",2.5,3.38,2.62,3,3,1.75,1.25,1,2.75,2.62,2.25,1,1.12,2.38,1.88,3,2.75,2.88,2.38,1.5,2.5,1.62,2.12,2.88,1.25,1,2.88,3.25,3.5,2,1.88,1,2.62,2.12,2.88,"Importance"
"506","33-3051.01","Police Patrol Officers",3.25,4,3,3.38,3.75,1,1,1,2.75,3.25,2.75,1,1,2.62,2.12,3.62,3.38,2.75,2.5,2,3.38,1.38,2.12,3.38,1,1.62,3.38,3.62,3.5,2.62,2.25,1.5,2.88,1.75,3.12,"Importance"
"507","33-3051.03","Sheriffs and Deputy Sheriffs",3.5,4,3.38,3.62,4,1,1.12,1,3,3.88,2.75,1.5,2,3.25,2,3.38,3.88,2.88,2.88,2,3.75,1.25,1.75,3.75,1,1.75,3.62,4,4.12,3,2.88,1.25,3.62,1.62,3.38,"Importance"
"508","33-3052.00","Transit and Railroad Police",3.38,3.62,3.5,3.25,3.5,1.12,1.12,1,3,3.38,2.75,1.75,1.62,3,2.25,3.38,3.12,2.62,2.5,2,3.25,1.75,2.12,3.12,1,1.38,3.12,3.38,3.75,2.75,2.38,1.38,2.88,1.88,3.25,"Importance"
"509","33-9011.00","Animal Control Workers",3,3.75,3.25,3,3.62,1.12,1.25,1,2.88,3.25,2.62,1.38,1.75,2.12,1.62,3.12,2.75,1.88,2.25,2.12,2.88,1.12,1.88,3,1,1.25,3.12,3.25,3.62,2,2,1.25,2.75,1.38,2.88,"Importance"
"510","33-9021.00","Private Detectives and Investigators",3.38,4.12,3.75,3,3.88,1,1.25,1,2.25,3.38,2.5,1.75,1.88,2.25,2.25,3.38,2.88,2.12,1.88,1.88,2.88,1.75,1.75,3.88,1,1.5,3,3.5,4,2.88,2.75,1.62,3,1.38,3.62,"Importance"
"511","33-9031.00","Gaming Surveillance Officers and Gaming Investigators",3.25,3.25,3,3,3.5,1.38,1,1,3,3.5,2.38,1.38,1.38,2.75,2.12,4.38,2.88,2,2.25,1.75,2.62,1.12,2.12,3.12,1.38,1.25,2.62,3.25,3.62,2.12,2.12,1.12,3,1.5,3.12,"Importance"
"512","33-9032.00","Security Guards",2.62,3.5,2.5,2.88,3,1,1,1,2.38,2.75,2.38,1,1,2.25,1.25,2.88,2.5,2.12,2.5,1.75,2.75,1.12,2.25,2.88,1.12,1.25,2.88,2.88,3.12,1.25,2,1,2.62,1.88,2.62,"Importance"
"513","33-9091.00","Crossing Guards",2,3.12,2.62,2.88,2.88,1,1.12,1,2.12,3,1.25,1,1.12,2,1,2.88,1.88,1.12,1.38,1.25,2.25,1,1.12,2.38,1,1,3,3.12,3.5,1.62,1.62,1,2.38,1,2.25,"Importance"
"514","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.75,3.25,2.75,3,3.12,1,1.25,1,2.75,3.25,2.88,1,1.12,2.25,1.25,3.62,2.12,1.12,2.12,1.38,2.62,1,2.25,2.62,1,1.75,3.25,3.12,3.62,1.75,2,1.12,2.5,1.88,2.5,"Importance"
"515","33-9093.00","Transportation Security Screeners",2.88,3.25,2.75,3.25,3.25,2,1.88,1,2.88,3.12,2.5,1.62,1.88,2.5,1.88,3.38,2.62,2.62,2.75,1.88,3,1.5,2.5,3,1.62,1.75,3,3.25,3.38,2.12,2.38,1,2.62,2.25,2.88,"Importance"
"516","33-9099.02","Retail Loss Prevention Specialists",3.25,3.5,3,3.12,3.75,1,1.12,1,2.88,3.38,2.88,2,1.88,2.88,2.62,3.5,2.75,1.88,2.62,1.38,2.75,1.62,2.38,3.25,1,1.25,2.88,3.38,3.5,3,2.88,1.62,3,2.25,3.12,"Importance"
"517","35-1011.00","Chefs and Head Cooks",3.38,3.5,3.12,3.75,3.5,1.88,2,1,3.25,3.5,3,3,3.12,3.62,3,3.88,3.25,2.25,2.75,2.38,3.12,1.25,3.12,3,1.62,1.62,3.38,3.62,3.75,2.88,2.75,1.75,3.62,2,2.88,"Importance"
"518","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers",2.88,3.75,3.12,3.75,3.38,1.38,1.25,1,3.5,3.25,3.12,2.75,2.75,3.62,3,3.62,3.12,2.12,2.25,2,3.25,1.38,2.88,3.38,1,1.12,3.75,3.5,3.88,3,3,1.38,3.38,1.75,2.88,"Importance"
"519","35-2011.00","Cooks, Fast Food",2.38,3.12,2.25,2.62,2.75,1,1.25,1,2.38,2.38,1.88,1.5,1.38,2,2.12,2.62,2.38,2.12,2.25,1.25,2.25,1,2.12,2.62,1,1.25,3,2.62,3,1.75,1.75,1.12,2.5,1.38,2.12,"Importance"
"520","35-2012.00","Cooks, Institution and Cafeteria",3,3,3,3,3,1.25,1.25,1,2.88,3.12,2.5,2.5,2.88,3,2.75,3.25,2.88,2.75,3.12,2,2.75,1.25,3.12,3.12,1,1,3.12,2.88,3.12,2.62,2.5,1.25,3.38,1.88,2.75,"Importance"
"521","35-2013.00","Cooks, Private Household",3.25,3.12,3,3,3.25,1,1.38,1,1.38,3.38,2.5,2.75,3.25,2.5,2.5,3.12,2.38,2.62,2.62,2.38,2.88,1.5,2.38,3.38,1,1.38,3.38,3,3,2.5,2.12,1.75,3.5,1.88,2.62,"Importance"
"522","35-2014.00","Cooks, Restaurant",2.62,3,2.38,3.12,2.88,1.12,1.75,1,2.25,2.88,2.25,2.12,2.38,2.62,2.5,3.12,2.25,2.38,2.75,1.5,2.12,1,2.88,2.62,1,1.25,2.38,2.75,2.88,2.12,2,1.38,2.62,1.62,2.38,"Importance"
"523","35-2015.00","Cooks, Short Order",2.5,3.38,2.75,3.12,2.75,1,1.25,1,2.25,2.62,2.25,1.88,1.88,2.25,2.25,2.88,2.5,1.12,2.25,1,2.5,1,2,2.88,1,1,3.12,2.75,3,1.25,2.12,1.62,3.12,2,2.38,"Importance"
"524","35-2021.00","Food Preparation Workers",1.75,3.12,2.12,2.75,2.62,1,1.38,1,2.12,2.5,2,1.12,1.12,1.75,2,3,1.88,1.5,1.88,1.12,2,1,2.38,2.38,1,1,2.62,2.5,2.88,1.62,1.62,1.12,2.75,1.75,2,"Importance"
"525","35-3011.00","Bartenders",2.88,3.62,2.88,3,3.12,1.12,1.12,1,2.88,2.88,2.62,2,2.12,2.38,2.38,3,2.88,2,2.25,1,2.88,1.38,2,2.75,1,1,3.62,3.38,3.38,2.25,2.38,1.5,2.75,1.75,2.62,"Importance"
"526","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food",2.62,3.38,2.38,3.12,2.75,1,1,1,3,2.88,2.75,1.75,2,2.5,2.75,3.12,2.25,2,2.12,1.12,2.5,1.38,2.25,2.62,1,1,3.25,3.12,3.25,1.75,2,1.38,2.5,1.62,2.12,"Importance"
"527","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2.62,3.62,2.75,2.88,3,1,1.12,1,2.62,2.88,2.38,1.88,1.62,2.5,2.5,2.88,2.75,1.12,2.25,1.12,2.88,1.25,2.25,3,1,1,3.38,3.25,3.25,2,2.38,1.38,2.88,1.75,2.88,"Importance"
"528","35-3022.01","Baristas",2.62,3.5,2.38,3,2.88,2.12,1.62,1,2.25,2.38,2.38,1.75,1.88,2.12,2.12,3,2.5,2.75,2.5,1.12,2.75,1,2.25,3,2,1,3.38,3.12,3.38,1.75,1.75,1.38,2.62,2.12,2.62,"Importance"
"529","35-3031.00","Waiters and Waitresses",2.62,3.88,2.75,3.25,2.75,1,1,1,2.25,3,2.5,1.12,1.38,2,2.12,3.12,2.5,1.25,1.62,1.12,2.88,1.38,1.75,2.62,1,1,3.75,3.62,3.62,1.75,2,1,2.5,1,2.38,"Importance"
"530","35-3041.00","Food Servers, Nonrestaurant",2.12,3,1.88,2.88,2.75,1,1.25,1,2,2.62,2,1.75,1.75,2.12,2,3.25,1.75,1.75,1.75,1.5,1.88,1,2.12,2.75,1,1,3.12,2.88,3,1.88,1.75,1.62,2.75,1.75,2,"Importance"
"531","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers",2,2.75,2.12,3,2.5,1,1,1,1.88,2.5,1.88,1.5,1.62,2.12,1.88,2.75,2,1.62,1.88,1.25,1.88,1.25,1.88,2.12,1,1,3.25,2.75,2.62,1.75,1.75,1.25,2.25,1.88,1.88,"Importance"
"532","35-9021.00","Dishwashers",2.12,3,2,2.75,2.62,2.38,2.12,1,2.12,2.5,1.88,1.75,1.88,2,2,2.75,2.12,2.75,2.75,1,2.12,1,2.5,2.12,2.12,1,2.25,2.62,2.62,1.88,1.88,1.25,2.88,2.25,1.88,"Importance"
"533","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.62,3.5,2.5,3,2.88,1,1,1,2.75,2.62,2.25,1.25,1,2.5,2,2.75,2.88,1,1.25,1,3,1,1.12,2.88,1,1,3.25,3.12,3.38,2.12,2.12,1,2.88,1,2.62,"Importance"
"534","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers",3,3.12,3,3.25,3.12,2.12,1.5,1,3,3.12,3.12,2.38,2.88,3.38,2.38,3.38,3,2.38,2.5,2,3,1,2.88,3.12,1.5,1.12,3.12,3.38,3.38,2.5,2.62,1.25,3.38,2.38,2.88,"Importance"
"535","37-1012.00","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.12,3.88,3.25,3.88,3.88,1.75,1.88,1.25,3.12,3.25,3.12,2.25,2.62,3.75,2.75,3.75,3,3,3,2.25,3,1.62,2.88,3.25,1.75,1.38,3.12,3.38,3.75,2.75,2.62,1.75,3.75,2.12,3,"Importance"
"536","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.5,3,2.12,2.75,2.75,2,1.88,1,2,2.25,1.88,1,1.25,2,1,2.5,1.88,2,2.12,1.38,2,1,2,2.38,2,1,2.5,2.75,2.62,1.75,1.5,1,2.62,2,2,"Importance"
"537","37-2012.00","Maids and Housekeeping Cleaners",2,2.88,2.25,3,2.62,1,1.5,1,2.25,2.38,2.12,1.62,1.75,2.25,1.75,2.88,2,1.88,1.88,1.12,2.25,1,2.25,2.5,1,1,3.25,2.75,2.88,2,1.88,1.38,2.75,1.75,2.12,"Importance"
"538","37-2021.00","Pest Control Workers",3.12,3.75,3.25,3.12,3.75,2.25,2.12,1,2.88,3.12,2.75,2.12,2.12,3,2.62,3.62,3.12,3,3,1.88,3.12,1,2.62,3,2.25,2,3.25,3.38,3.62,2.88,2.62,1.62,3.5,2.5,3.62,"Importance"
"539","37-3011.00","Landscaping and Groundskeeping Workers",2.25,2.75,2.25,2.75,2.88,2.12,2.12,1.12,2,2.5,2.12,1.12,1.5,2.12,1.75,2.5,1.88,3.12,2.75,1.25,2,1,2,2.25,2.25,1.62,2.5,2.5,2.88,1.88,1.88,1.62,2.62,2.12,1.75,"Importance"
"540","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation",2.88,3.25,3,3,3.12,2.88,2.25,1,2.38,3,2.25,1.75,1.88,2.5,2.25,2.88,2.38,3,3,1.25,2.38,1,2.38,3,2.25,2,2.5,3,3.12,2.12,2.12,1.38,3.12,2.25,2.5,"Importance"
"541","37-3013.00","Tree Trimmers and Pruners",2.62,3.38,3.12,3.25,3.25,2.5,2.62,1,3.12,2.88,2.5,1.5,1.62,3,1.88,3,2.5,3.75,3.62,1.38,2.62,1,2.88,2.75,2.38,1.88,2.75,2.88,3,2.12,1.88,1.38,2.88,2.88,2.62,"Importance"
"542","39-1011.00","Gaming Supervisors",3,4,3,3.75,3.75,1,1,1,3,3.12,2.62,2.12,1.88,3.25,2.25,4.25,3.25,1.12,1.5,1.38,3.12,1.12,2,3.12,1,1.62,3.25,3.88,4,2.75,2.38,1,3.25,1.38,3,"Importance"
"543","39-1012.00","Slot Supervisors",2.38,3.62,2.62,2.88,3.25,2.5,1.5,1,2.25,2.88,1.62,1.25,1.62,2.62,2.75,3.88,2.62,2,3.12,1.12,2.5,1.12,2.25,2.5,2.62,1.38,3,3.38,4,1.62,1.75,1.25,2.75,2.38,2.62,"Importance"
"544","39-1021.00","First-Line Supervisors of Personal Service Workers",3,3.88,3.38,3.62,3.88,1,1,1,3.38,3.38,3,2,2.25,3.75,2.12,3.25,3.12,1.5,2.38,1.75,3.5,1.38,2.75,3.5,1,1.5,3.5,3.75,3.75,3,3,1.62,3.62,1.88,3.12,"Importance"
"545","39-1021.01","Spa Managers",3.5,3.75,3.38,4,3.88,1,1.38,1,3.5,3.75,3.38,3.12,3,3.88,2.75,4,3.25,2,2.62,1.62,3.75,1.5,2.5,3.38,1,1.12,3.88,3.88,4,3.38,3.25,1.88,3.75,2,3.12,"Importance"
"546","39-2011.00","Animal Trainers",3.25,3.12,3,3,3.38,1,1.12,1,3.75,3.12,3.5,1.75,2,2.62,1.88,3.12,2.5,1.75,2,1.75,2.88,1.12,2.12,2.88,1,1.75,3,3,3.5,2.88,2.88,1.75,3,1.75,2.88,"Importance"
"547","39-2021.00","Nonfarm Animal Caretakers",2.62,3.12,2.75,2.88,2.62,1.38,1.62,1.38,2.25,3,2.12,1.38,1.75,2.25,2,3.12,2.25,1.38,2,1.12,2.38,1,2,3,1.38,1.5,3.12,2.75,3,1.88,1.88,1.5,2.88,1.88,2.75,"Importance"
"548","39-3011.00","Gaming Dealers",2.75,3.5,2.62,3,3,1,1,1,3,2.88,2.38,1.38,1.5,2.5,2.75,3.38,2.88,1.12,2.12,1,2.88,1,2.12,3,1,1.12,3.25,3.5,3.5,2.25,2,1.38,3,1.75,2.5,"Importance"
"549","39-3012.00","Gaming and Sports Book Writers and Runners",2.62,3.5,2.5,3,2.88,1,1,1,2.25,2.62,2.25,1.75,1.75,2.38,3,3.12,2.25,1.62,2,1.12,2.5,1.38,1.88,2.75,1,1.25,2.88,3,3.12,1.88,1.88,1,2.38,1.75,2.88,"Importance"
"550","39-3021.00","Motion Picture Projectionists",2.25,3.12,2.75,2.62,2.88,2.75,2.25,1.38,2,2.62,2.12,1.25,1.62,2,1.38,3.12,2,3.38,3.38,2.12,2.25,1,2.75,2.88,2.75,1.25,2.5,2.75,2.88,1.62,1.75,1.38,2.88,2.75,2.38,"Importance"
"551","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers",2.62,3.12,2.5,3,2.75,1,1,1,1.62,2.38,1.62,1,1,2.38,1.88,2.75,2.88,1.62,2,1.25,2.88,1.38,2,2.75,1,1,3.25,3.38,3.25,2,2,1,2.5,1.88,2.25,"Importance"
"552","39-3091.00","Amusement and Recreation Attendants",2.25,3.38,2.25,2.88,2.75,1.62,1.25,1,2.12,2.62,2,1.12,1.5,2,2,2.88,2.12,2.5,2.25,1.12,2.62,1.5,1.75,2.38,1.62,1,3.25,3.25,3.62,2,1.88,1.25,2.5,1.62,2.5,"Importance"
"553","39-3092.00","Costume Attendants",2.12,3.25,2.38,3,2.88,1,1.12,1,1.62,2.38,1.25,1.12,1.38,2,1.12,2.75,2.5,1.88,1.75,1.88,2.62,1,2,2.5,1.25,1,2.75,3,3.25,1.62,1.62,1.25,2.62,1.5,2.38,"Importance"
"554","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants",2.12,3.5,2,2.75,2.5,1,1.12,1,2,2.25,1.38,1,1.25,2,1.38,2.75,2.5,1.5,1.62,1.25,2.25,1,1.25,2.62,1,1,3.5,3.12,3.62,1,1.38,1,2.38,1,2.25,"Importance"
"555","39-4011.00","Embalmers",2.75,3.5,3,3.12,3.25,2,2.12,1,2.62,3.12,2.38,1.75,2,2.75,2,3.12,2.25,2.25,2.62,2,2.38,1,2.38,2.88,1.88,2.62,3.12,3.12,3.75,2.12,2.12,1.62,3,2,2.88,"Importance"
"556","39-4021.00","Funeral Attendants",2,3.12,2.38,3,2.75,1.75,1.5,1,2.12,2.88,1.88,1.5,2,1.88,1.75,3.12,2,2.12,2.25,1.62,2,1.12,2,2.62,1.25,1.38,3.38,3.5,3.38,2,1.75,1.5,2.5,1.75,2.38,"Importance"
"557","39-4031.00","Morticians, Undertakers, and Funeral Directors",3,3.75,3.12,3.75,3.38,1,1.12,1,2.88,3.38,2.75,2.88,2.62,3,2.88,3.12,3.25,2.62,2.62,2.75,3.12,1.38,2.75,3.25,1,2.25,4,4.12,3.88,2.88,2.88,1.62,3.38,1.75,3.38,"Importance"
"558","39-5011.00","Barbers",2.62,3.62,2.38,2.88,2.88,1.75,1.88,1,1.25,2.75,2,1.62,1.75,1.75,1.25,3.12,1.88,2,2,2.75,2.38,1,1.88,2.62,1.5,1.38,3,3.12,3.38,1.38,1.38,1.12,2.5,1.62,2.12,"Importance"
"559","39-5012.00","Hairdressers, Hairstylists, and Cosmetologists",3.38,3.88,3.25,3.12,3.5,1.5,1.88,1,2.75,3.38,2.75,1.25,1.5,2.25,2.62,3.12,2.5,1.5,2.12,2.62,2.88,1,2.12,2.75,1,1.88,3.62,3.38,3.5,2.38,2.38,1.38,3.12,1.75,2.75,"Importance"
